sentence1,sentence2,similarity_score
big data,большие данные,5.0
machine learning ,машинное обучение,5.0
deep learning,глубокое обучение,5.0
artificial intelligence,искусственный интеллект,5.0
ai,ии,5.0
neural network,нейронная сеть,5.0
nn,нс,5.0
convolutional neural networks,сверточные нейронные сети,5.0
recurrent neural networks,реккурентные нейронные сети,5.0
feed forward neural networks,нейронные сети прямого распространения,5.0
data structures,cтруктуры данных,5.0
target variable,целевая переменная,5.0
algorithm,алгоритм,5.0
model,модель,5.0
library,библиотека,5.0
machine learning model,модель машинного обучения,5.0
data,данные,5.0
dataset,датасет,5.0
database,база данных,5.0
data lake,озеро данных,5.0
pipeline,пайплайн,5.0
vector,вектор,5.0
tensor,тензор,5.0
quality metric,метрика качества,5.0
hyperparameter,гиперпараметр,5.0
tuning hyperparametres,настройка гиперпараметров,5.0
fine tuning,тонкая настройка,5.0
cross-validation,кросс-валидация,5.0
data analysis,анализ данных,5.0
data visualization,визуализация данных,5.0
preprocessing,предварительная обработка,5.0
feature engineering,настройка фичей,5.0
classification,классификация,5.0
regression,регрессия,5.0
linear regression,линейная регрессия,5.0
logistic regression,логистическая регрессия,5.0
gradient boosting,градиентный бустинг,5.0
decision trees,деревья решений,5.0
random forest,случайный лес,5.0
ensemble methods,методы ансамблирования,5.0
bagging,бэггинг,5.0
stacking,стэкинг,5.0
blending,блэндинг,5.0
support vector machine,метод опорных векторов ,5.0
principle component analysis,метод главных компонент,5.0
cluster,кластер ,5.0
clustering,кластеризация,5.0
feature space compression,сжатие признакового пространства,5.0
anomaly detection,поиск аномалий,5.0
overfitting,переобучение,5.0
regularization,регуляризация,5.0
gradient explosion,взрыв  градиента,5.0
gradient decay,затухание градиента,5.0
gradient descent,градиентный спуск,5.0
autoencoder,автокодировщик ,5.0
autoencoding,автокодирование,5.0
sparse,разреженный ,5.0
noise,шум,5.0
multilayered,многослойный,5.0
time series,временные ряды,5.0
forecasting,прогнозирование,5.0
аlbumentations,альбументации,5.0
data augmentation,аугментация данных,5.0
computer vision,компьютерное зрение,5.0
convolution,свертка,5.0
pooling,пулинг,5.0
deconvolution,деконволюция,5.0
segmentation,сегментация,5.0
object detection,обнаружение объектов,5.0
recommender system,рекомендательная система,5.0
content filtering,контентная фильтрация,5.0
association rules,ассоциативные правила,5.0
hybrid approach.,гибридный подход.,5.0
singular value decomposition,сингулярное разложение,5.0
parsing,парсинг ,5.0
parser,парсер,5.0
natural language processing,обработка естественного языка,5.0
lemmatization,лемматизация,5.0
stemming,стемминг,5.0
stop-words,стоп-слова,5.0
text recognition,распознования текста,5.0
transformer,трансформер,5.0
large language model,большая языковая модель,5.0
token,токен,5.0
tokenization,токенизация,5.0
bag of words,мешок слов,5.0
architecture,архитектура,5.0
topic modeling,тематическое моделирование,5.0
transfer learing ,трансферное обучение,5.0
reinforcement learning,обучение с подкреплением,5.0
accuracy,точность,5.0
supervised learning,обучение с учителем,5.0
unsupervised learning,обучение без учителя,5.0
machine learning specialist,специалист по машинному обучению,5.0
ml specialist,ml специалист,5.0
machine learning engineer,инженер по машинному обучению,5.0
ml - engineer,ml - инженер,5.0
machine learning developer,разработчик машинного обучения,5.0
ml developer,ml разработчик,5.0
data science,наука о данных,5.0
data scientist,ученый по данным,5.0
data engineer,инженер по данным,5.0
data analyst,аналитик данных,5.0
machine learning programmer,программист машинного обучения,5.0
ml programmer,ml программист,5.0
intern,стажер,5.0
junior,младший,5.0
middle,средний,5.0
senior,старший,5.0
lead,ведущий,5.0
qa engineer ,инженер по тестированию,5.0
qa инженер,инженер по тестированию,5.0
qa (manual),инженер по ручному тестированию,5.0
qa/тестировщик,тестировщик,5.0
aqa,инженер по тестированию,5.0
qa-инженер,инженер по тестированию,5.0
тестировщик/qa,тестировщик,5.0
qa manual engineer,инженер по ручному тестированию,5.0
qa automation c#,инженер по автоматизации тестирования c#,5.0
qa automation engineer (python),инженер по автоматизации тестирования (python),5.0
qa auto engineer,инженер по автоматизации тестирования,5.0
 qa automation engineer(ts/js),инженер по автоматизации тестирования ts/js,5.0
auto qa engineer for big data,инженер по автоматизации тестирования больших данных,5.0
qa automation,инженер по автоматизации тестирования,5.0
qa инженер (автоматизация),инженер по автоматизации тестирования,5.0
fullstack quality engineer,инженер по качеству фуллстек,5.0
fullstack qa engineer,инженер по тестированию фуллстек,5.0
qa automation engineer java,инженер по автоматизации тестирования (java),5.0
fullstack qa,тестировщик фуллстек,5.0
qa/инженер по тестированию,инженер по тестированию,5.0
тестировщик qa,тестировщик,5.0
qa manual engineer ,инженер по ручному тестированию,5.0
qa-инженер/инженер ручного тестирования,инженер по ручному тестированию,5.0
qa manual ,инженер по ручному тестированию,5.0
qa engineer (manual),инженер по ручному тестированию,5.0
qa engineer manual,инженер по ручному тестированию,5.0
manual qa engineer,инженер по ручному тестированию,5.0
qa auto,инженер по автоматизации тестирования,5.0
qa/тестирование,инженер по тестированию,5.0
qa / automation qa / sdet,тестировщик,5.0
qa-инженер (backend),инженер по тестированию бэкенд,5.0
automation qa,инженер по автоматизации тестирования,5.0
qa automation engineer ,инженер по автоматизации тестирования,5.0
automation qa engineer (backend),инженер по автоматизации тестирования бэкенд,5.0
инженер тестировщик fullstack,инженер по тестированию фуллстек,5.0
 aqa-инженер,инженер по автоматизации тестирования,5.0
qa automation engineer backend (acm),инженер по автоматизации тестирования бэкенд,5.0
qa fullstack,инженер по тестированию фуллстек,5.0
bugs,ошибки,5.0
fixes,исправления,5.0
smoke testing ,дымовое тестирование,5.0
sanity test,тестирование на согласованность,5.0
regression-test,регрессионное тестирование,5.0
black box testing,функциональное тестирование,5.0
manual tester\qa ,инженер по ручному тестированию,5.0
acces control,контроль доступа,5.0
ansible,ансибл,5.0
arch,арч,5.0
authentication,аутентификация,5.0
automatization,автоматизация,5.0
azure,азур,5.0
chef,чеф,5.0
cloud platform,облачная платформа,5.0
cloudformation,клаудформейшн,5.0
container orchestration,оркестрация контейнеров,5.0
container,контейнер,5.0
dns,днс,5.0
data base,база данных,5.0
debian,дебиан,5.0
docker,докер,5.0
git,гит,5.0
gitlab,гитлаб,5.0
google cloud,гугл клауд,5.0
grafana,графана,5.0
infrastructure management,управление инфраструктурой,5.0
jenkins,дженкинс,5.0
kubernetes,кубернетес,5.0
linux,линукс,5.0
logging,логирование,5.0
monitoring,мониторинг,5.0
networking,сетевые технологии,5.0
openshift,опеншифт,5.0
prometheus,прометеус,5.0
puppet,паппет,5.0
red hat,ред хат,5.0
security control,управление безопасностью,5.0
skript,скрипт,5.0
stack,стэк,5.0
system administration,системное администрирование,5.0
terraform,терраформ,5.0
traefik,траефик,5.0
ubuntu,убунту,5.0
unix,юникс,5.0
version control,управление версиями,5.0
virtualization,виртуализация,5.0
devops engineer,девопс инженер,5.0
site reliability engineer (sre),инженер по надежности сайтов (sre),5.0
infrastructure engineer,инженер инфраструктуры,5.0
ci/cd engineer,инженер ci/cd,5.0
cloud engineer,облачный инженер,5.0
automation engineer,инженер по автоматизации,5.0
platform engineer,инженер платформы,5.0
systems engineer,системный инженер,5.0
release engineer,инженер по релизам,5.0
devops specialist,специалист по девопс,5.0
build and release engineer,инженер по сборке и релизам,5.0
cloud operations engineer,инженер облачных операций,5.0
devops architect,архитектор девопс,5.0
infrastructure automation engineer,инженер по автоматизации инфраструктуры,5.0
it operations engineer,инженер it операций,5.0
ui,пользовательский интерфейс,5.0
ux,пользовательский опыт,5.0
cjm,карта пользовательских путей,5.0
figma,фигма,5.0
font,шрифт,5.0
color,цвет,5.0
light,свет,5.0
composition,композиция,5.0
visual,визуальный,5.0
photoshop,фотошоп,5.0
design,дизайн,5.0
illustrator,иллюстратор,5.0
canva,канва,5.0
animation,анимация,5.0
graphics,графика,5.0
style,стиль,5.0
typographics,типография,5.0
layout,верстка,5.0
blender,блендер,5.0
prototyping,прототипирование,5.0
facet,аспект,5.0
element,элемент,5.0
sketch,скетч,5.0
wireframe,каркас,5.0
ui/ux designer,ui/ux дизайнер,5.0
product designer,продуктовый дизайнер,5.0
user interface designer,дизайнер пользовательского интерфейса,5.0
user experience designer,дизайнер пользовательского опыта,5.0
interaction designer,дизайнер взаимодействия,5.0
visual designer,визуальный дизайнер,5.0
digital product designer,дизайнер цифровых продуктов,5.0
ux researcher,исследователь пользовательского опыта,5.0
ui developer,ui разработчик,5.0
ux architect,ux архитектор,5.0
ux strategist,ux стратег,5.0
user-centered designer,дизайнер ориентированный на пользователя,5.0
experience designer,дизайнер опыта,5.0
interface designer,интерфейсный дизайнер,5.0
web designer,веб-дизайнер,5.0
ux/ui consultant,консультант по ux/ui,5.0
adaptive design,адаптивный дизайн,5.0
back-end,бэкэнд,5.0
front-end,фронтенд,5.0
scaffolding,скафо́лдинг,5.0
shim,шим,5.0
typography,типографика,5.0
cross-browser development,кроссбраузерная разработка,5.0
cross-platform development,кроссплатформенная разработка,5.0
web-fonts,веб-шрифты,5.0
adaptive layout,адаптивная верстка,5.0
responsive web design,адаптивный веб-дизайн,5.0
graceful degradation,постепенная деградация,5.0
fluid design,отзывчивый дизайн,5.0
responsive design,адаптивный дизайн,5.0
frontend developer,фронтенд разработчик,5.0
web developer,веб разработчик,5.0
progressive enhancement,прогрессивное улучшение,5.0
responsive layout,адаптивная верстка,5.0
seo,поисковая оптимизация,5.0
databases,базы данных,5.0
mobile development,мобильная разработка,5.0
app development,разработка приложений,5.0
cross-browser layout,кроссбраузерная верстка,5.0
english,английский язык,5.0
version control systems,системы контроля версий,5.0
css preprocessor,препроцессоры css,5.0
cms,система управления содержимым,5.0
design patterns,паттерны проектирования,5.0
clean architecture,чистая архитектура,5.0
object-oriented programming,объектно-ориентированное программирование,5.0
ui/ux design,ui/ux-дизайн,5.0
unit testing,юнит-тестирование,5.0
unit testing,модульное тестирование,5.0
vsc,системы контроля версий,5.0
cvcs,централизованные системы контроля версий,5.0
dvcs,распределённые системы контроля версий,5.0
task runners,таскраннеры,5.0
template engines,шаблонизаторы,5.0
javascript patterns,паттерны javascript,5.0
patterns,паттерны ,5.0
position,позиционирование,5.0
app optimization,оптимизация веб-приложений,5.0
frontend developer,frontend разработчик,5.0
intern,стажёр,5.0
web-developer,веб-разработчик,5.0
javascript developer,javascript разработчик,5.0
angular developer,angular разработчик,5.0
vue.js developer,vue.js разработчик,5.0
full-stack developer,фулстек разработчик,5.0
full-stack,фулстек ,5.0
full-stack web developer,фуллстек веб-разработчик,5.0
react frontend developer,фронтенд разработчик react,5.0
typescript developer,typescript разработчик,5.0
fullstack developer,фулстек разработчик,5.0
